,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
291,ALTA VISTA PUBLIC,California,25.41,13,,29.16,46.46,,60171012521
292,ALTA-DUTCH FLAT ELEMENTARY,California,4.5,5.2,,20,18.27,,60225000099
293,ALTADENA ELEMENTARY,California,14.77,19,,23.43,21.37,,62994004661
294,ALTAMONT CREEK ELEMENTARY,California,30.57,27.97,,19.1,21.31,,62211008438
295,ALTERNATIVE COOPERATIVE EDUCATION CHARTER,California,5,5,,29.2,27.6,,64059012697
296,ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,California,3.6,3.6,,31.67,28.33,,68450009467
297,ALTERNATIVE FAMILY EDUCATION,California,5.1,4.7,,34.31,34.04,,63560007437
298,ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO H,California,2,1,,9,12,,62691011552
299,ALTERNATIVE LEARNING CENTER,California,4,3,,20.25,20.67,,63417010048
300,ALTERNATIVE OPPORTUNITY PROGRAMS,California,,,,,,,69107810231
301,ALTIMIRA MIDDLE,California,21.4,22.84,,22.34,20.36,,63720006298
302,ALTURAS COMMUNITY DAY,California,,1,,,1,,62519011692
303,ALTURAS ELEMENTARY,California,19.05,18.5,,18.95,19.95,,62519003762
304,ALVARADO ELEMENTARY,California,16,18,,25.75,23.56,,62250009902
305,ALVARADO ELEMENTARY,California,26.19,24,,19.97,21.46,,63441005583
306,ALVARADO ELEMENTARY,California,35.1,39.4,,25.1,21.93,,62691004065
307,ALVARADO INTERMEDIATE,California,35.25,37.92,,24.43,23.81,,63375005197
308,ALVARADO MIDDLE,California,52.76,52.3,,26.91,26.77,,62691004066
309,ALVIEW ELEMENTARY,California,8,8,,19.88,19.25,,60236000125
310,ALVIN ELEMENTARY,California,30.5,30.3,,27.31,25.97,,60558009313
311,ALVIN M. DUNN ELEMENTARY,California,23.5,23.5,,26.09,25.4,,63488005889
312,ALVIN S. HATCH ELEMENTARY,California,24,22,,25.25,25.82,,60678000596
313,ALVINA ELEMENTARY CHARTER,California,9.31,9.25,,22.77,21.84,,60237000127
314,ALVORD ALTERNATIVE EDUCATION CENTER,California,3,,,13.67,,,60243013134
315,ALVORD CONTINUATION HIGH,California,11,12,,22.55,18.25,,60243000128
316,AMADOR COUNTY ROP,California,,,,,,,60008910738
317,AMADOR COUNTY SPECIAL EDUCATION,California,29.45,29.62,,5.7,6.04,,69100106970
318,AMADOR HIGH,California,24.07,24.14,,26.05,25.72,,60245008786
319,AMADOR VALLEY HIGH,California,102.83,103.23,,25.53,25.54,,60002009282
320,AMANECER PRIMARY CENTER,California,10,11,,23.6,22.82,,62271011621
321,AMARGOSA CREEK MIDDLE,California,46.89,44.83,,22.31,22.57,,62088008717
322,AMBASSADOR PHILLIP V. SANCHEZ PUBLIC CHARTER,California,6,5.5,,37.83,30.73,,63168012984
323,AMBLER AVENUE ELEMENTARY,California,21,21,,21.33,21.62,,62271002809
324,AMELIA EARHART CONTINUATION,California,5,5,,24.8,22.2,,62271002972
325,AMELIA EARHART ELEMENTARY,California,26.5,25.7,,22.3,22.76,,60177000043
326,AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL,California,33.6,35.1,,27.59,27.15,,61111008766
327,AMELIA EARHART MIDDLE,California,37,39,,26.81,26.74,,63315005006
328,AMERICA'S FINEST CHARTER,California,10,10.2,,20.6,15.1,,63432012854
329,AMERICAN CANYON HIGH,California,58.93,44.73,,23.74,22.76,,62664012535
330,AMERICAN CANYON MIDDLE,California,39,39.2,,25.13,24.62,,62664007575
331,AMERICAN ELEMENTARY,California,29.5,28.5,,23.59,25.47,,63348011603
332,AMERICAN HIGH,California,80.23,82.68,,24.73,24.02,,61440001654
333,AMERICAN INDIAN PUBLIC CHARTER,California,11,9,,26,28.33,,62805005673
334,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,California,21,10.9,,30.43,17.8,,62805012013
335,AMERICAN INDIAN PUBLIC HIGH,California,13,9,,18.69,21.33,,62805011563
336,AMERICAN LAKES ELEMENTARY,California,20.8,24.03,,23.8,21.72,,60003601095
337,AMERICAN LEGION HIGH (CONTINUATION),California,16.5,23.5,,19.88,13.23,,63384005221
338,AMERICAN RIVER CHARTER,California,6.56,6.75,,22.41,24.89,,60524012774
339,AMERICAN UNION ELEMENTARY,California,16.9,16,,19.05,20.38,,60141500147
340,AMERICAN UNION ELEMENTARY,California,,,,,,,60255000147
341,AMESTI ELEMENTARY,California,22,24,,29.14,25.83,,62949004534
342,AMESTOY ELEMENTARY,California,35,36,,23.2,22.17,,62271002811
343,AMISTAD HIGH (CONTINUATION),California,17.2,17.2,,22.33,25.52,,61111007694
344,AMY B. SEIBERT ELEMENTARY,California,29.25,27.29,,24.51,25.5,,60639009327
345,ANACAPA MIDDLE,California,31.36,34.52,,26.98,27.14,,64098006743
346,ANAHEIM HIGH,California,146.58,141.82,,22.05,23.49,,60263000169
347,ANAHEIM HILLS ELEMENTARY,California,19,20,,29.68,29.45,,62865004418
348,ANAHUACALMECAC UNIVERSITY PREPARATORY HIGH,California,7,6.5,,11,17.54,,62271012271
349,ANALY HIGH,California,55.6,52.4,,24.37,25.17,,60267000193
350,ANATOLA AVENUE ELEMENTARY,California,21.5,21.5,,20.33,20.74,,62271002812
351,ANAVERDE HILLS,California,10,10.2,,28.8,28.82,,64212010911
352,ANCHOR ACADEMY CHARTER,California,6.5,5,,19.23,19.4,,60141512704
353,ANCHOR ACADEMY CHARTER,California,,,,,,,61458012704
354,ANDASOL AVENUE ELEMENTARY,California,18,19.01,,23.11,23.67,,62271002814
355,ANDERSON,California,10,11,,12.2,11.18,,63417007342
356,ANDERSON (ALEX) ELEMENTARY,California,20.5,23,,25.27,23.39,,62781009413
357,ANDERSON (LINFORD L.) ELEMENTARY,California,17,16.85,,30.53,29.61,,61128001254
358,ANDERSON COMMUNITY DAY,California,,1.2,,,11.67,,60270007439
359,ANDERSON COMMUNITY DAY TRANSITION,California,,,,,,,60270011937
360,ANDERSON ELEMENTARY,California,26,27.5,,18.92,18.65,,60962000969
361,ANDERSON ELEMENTARY,California,26,29,,25.5,24.93,,64215006901
362,ANDERSON HEIGHTS ELEMENTARY,California,11,11,,26.55,23.82,,60768000734
363,ANDERSON HIGH,California,27.3,30.6,,25.53,20.42,,60270000196
364,ANDERSON MIDDLE,California,27.5,20.5,,19.64,21.02,,60768000733
365,ANDERSON NEW TECHNOLOGY HIGH,California,10.6,10.27,,20.85,21.71,,60270010671
366,ANDERSON VALLEY ELEMENTARY,California,15.1,14,,18.81,20.21,,60273000198
367,ANDERSON VALLEY JUNIOR-SENIOR HIGH,California,18.19,19.93,,14.4,12.64,,60273000199
368,ANDERSON W. CLARK MAGNET HIGH,California,45.4,47.8,,24.74,23.64,,61524007518
369,ANDRES AND MARIA CARDENAS ELEMENTARY,California,26,22,,23.85,24.36,,62271012677
370,ANDRES DUARTE ELEMENTARY,California,17,16,,21.24,21.63,,61152001282
371,ANDREW CARNEGIE MIDDLE,California,49.7,57.02,,17.83,16.89,,62271002896
372,ANDREW CARNEGIE MIDDLE,California,41.61,38.1,,25.26,25.56,,63462005760
373,ANDREW JACKSON ELEMENTARY,California,26,26,,27.27,27,,61111001227
374,ANDREW JACKSON ELEMENTARY,California,28.61,27.62,,24.92,24.44,,63627006186
375,ANDREW JACKSON ELEMENTARY,California,38.5,43.5,,29.17,25.98,,63531005990
376,ANDREW N. CHRISTENSEN MIDDLE,California,31.85,28.35,,21.35,22.86,,62211002618
377,ANDREW P. HILL HIGH,California,90.95,90.62,,23.89,24.67,,61182001301
378,ANDROS KARPEROS,California,67.14,65.55,,21,21.27,,64347011377
379,ANGEL'S GATE (CONTINUATION),California,3.5,3.01,,24,27.24,,62271002815
380,ANGELES MESA ELEMENTARY,California,20,19.01,,20.75,22.36,,62271002816
381,ANGELO RODRIGUEZ HIGH,California,81.95,83,,25.41,25.95,,61336010429
382,ANGIER ELEMENTARY,California,25.6,21.6,,21.91,21.53,,63432005410
383,ANIMO ALAIN LEROY LOCKE CHARTER HIGH,California,29,32.6,,15.97,17.3,,62271003140
384,ANIMO CHARTER MIDDLE NO. 1,California,,,,,,,62271012905
385,ANIMO CHARTER MIDDLE NO. 2,California,,,,,,,62271012908
386,ANIMO CHARTER MIDDLE NO. 3,California,30.2,27.2,,19.24,19.41,,62271012935
387,ANIMO CHARTER MIDDLE NO. 4,California,29,25.2,,19.93,19.88,,62271012939
388,ANIMO COLLEGE PREPARATORY ACADEMY,California,26.2,21.2,,18.4,18.21,,62271012903
389,ANIMO INGLEWOOD CHARTER HIGH,California,28,26.2,,22.5,23.74,,61839010538
390,ANIMO JACKIE ROBINSON HIGH,California,27.2,26.2,,21.29,22.37,,62271011636
391,ANIMO JEFFERSON CHARTER MIDDLE,California,26.2,17.2,,20.46,21.51,,62271012690
392,ANIMO LEADERSHIP HIGH,California,27.2,26.6,,22.65,23.35,,62142008504
393,ANIMO LOCKE ACE ACADEMY,California,,,,,,,62271012436
394,ANIMO LOCKE CHARTER HIGH SCHOOL #2,California,39.6,39.2,,17.63,20.69,,62271012306
395,ANIMO LOCKE CHARTER HS #3,California,,,,,,,62271012285
396,ANIMO LOCKE TECHNOLOGY HIGH,California,25.4,22.6,,18.19,23.85,,62271011639
397,ANIMO PAT BROWN,California,28.2,26.2,,20.89,22.18,,62271010849
398,ANIMO RALPH BUNCHE HIGH,California,32.4,32.7,,21.42,22.81,,62271011635
399,ANIMO SOUTH LOS ANGELES CHARTER,California,29,28.2,,21.69,21.88,,62271010836
400,ANIMO VENICE CHARTER HIGH,California,27.2,26.4,,21.32,20.8,,62271010848
401,ANIMO WATTS COLLEGE PREPARATORY ACADEMY,California,27.4,22.93,,19.16,23.99,,62271011640
402,ANIMO WESTSIDE CHARTER MIDDLE,California,13,6,,19.23,14,,62271012631
403,ANN B. LEAVENWORTH,California,31,30,,26.81,26.5,,61455003019
404,ANN SOBRATO HIGH,California,55.94,55.13,,26.85,26.68,,62583011453
405,ANN SOLDO ELEMENTARY,California,24,25,,29.33,28,,62949008368
406,ANN STREET ELEMENTARY,California,6,7,,22.5,21.43,,62271002817
407,ANNA A. BORBA FUNDAMENTAL ELEMENTARY,California,22.05,23,,28.03,28.43,,60846000834
408,ANNA HAUSE ELEMENTARY,California,27.44,28.2,,28.28,26.77,,60429012345
409,ANNA KIRCHGATER ELEMENTARY,California,36,39,,25.33,23.44,,61233001403
410,ANNA KYLE ELEMENTARY,California,37,36,,21.08,20.83,,61336001524
411,ANNA M. GLAZIER ELEMENTARY,California,19.52,18.52,,27.36,28.83,,62769004167
412,ANNA MCKENNEY INTERMEDIATE,California,24.3,24.6,,20.53,20.81,,62409003620
413,ANNA YATES ELEMENTARY,California,27,23,,19.48,19.48,,61263001425
414,ANNALEE AVENUE ELEMENTARY,California,15,16.01,,21.67,23.55,,62271002818
415,ANNANDALE ELEMENTARY,California,14,14,,22.14,23.79,,62271002819
416,ANNE DARLING ELEMENTARY,California,27.55,29.3,,17.17,18.23,,63459005699
417,ANNIE E. CHENEY KINDERGARTEN,California,4,4,,25.25,24.25,,60912010207
418,ANNIE PENNYCOOK ELEMENTARY,California,23,26.57,,25.13,22.69,,64074006718
419,ANNIE R. MITCHELL,California,25,25,,29.36,28.36,,64116006807
420,ANSEL ADAMS,California,33.54,35.62,,24.09,23.58,,62223011413
421,ANSGAR LARSEN ELEMENTARY,California,27,28,,29.56,27.71,,61785002204
422,ANTECELLO PREPARATORY ACADEMY,California,,3,,,10,,62271012803
423,ANTELOPE COMMUNITY DAY,California,1,1.33,,5,4.51,,60276008413
424,ANTELOPE CREEK ELEMENTARY,California,18,17,,24.83,24.41,,60001300805
425,ANTELOPE CROSSING MIDDLE,California,35.41,37.4,,24.51,24.39,,61149003494
426,ANTELOPE ELEMENTARY,California,15,17,,26.07,23.71,,60276000201
427,ANTELOPE ELEMENTARY,California,14,13,,26.79,26.23,,61944002333
428,ANTELOPE ELEMENTARY,California,8.92,9.33,,16.26,15.43,,61187001323
429,ANTELOPE HIGH,California,71.7,73.17,,25.19,24.33,,63363012310
430,ANTELOPE HILLS ELEMENTARY,California,29.9,35.4,,28.93,23.84,,60002911044
431,ANTELOPE MEADOWS ELEMENTARY,California,28.85,31.9,,24.51,23.17,,61149010268
432,ANTELOPE VALLEY COMMUNITY DAY,California,,,,,,,69107808004
433,ANTELOPE VALLEY HIGH,California,80.12,81.77,,21.42,21.67,,60282000203
434,ANTELOPE VALLEY LEARNING ACADEMY,California,32.68,13.25,,25.89,19.77,,62958012022
435,ANTELOPE VALLEY ROP,California,,,,,,,60011210925
436,ANTELOPE VIEW CHARTER,California,2,6.4,,27,20.16,,60790008581
437,ANTHONY C. TRAINA ELEMENTARY,California,35,36.5,,23.11,22.74,,61884011411
438,ANTHONY G. BACICH ELEMENTARY,California,36.26,36.5,,18.73,17.89,,61938002327
439,ANTHONY P. RUSSO ACADEMY,California,18.66,17.5,,17.63,19.66,,60231012063
440,ANTHONY SPANGLER ELEMENTARY,California,22,20,,23.73,26.45,,62450003675
441,ANTHONY W. OCHOA MIDDLE,California,27.12,29.26,,22.42,21.46,,61674009847
442,ANTIOCH CHARTER ACADEMY,California,10.1,10.3,,19.8,19.22,,60285007493
443,ANTIOCH CHARTER ACADEMY II,California,9.9,10.05,,19.9,18.71,,60285011984
444,ANTIOCH HIGH,California,82.75,88.6,,23.13,22.23,,60285000207
445,ANTIOCH MIDDLE,California,31.3,35.89,,24.54,21.26,,60285000208
446,ANTONIO DEL BUONO ELEMENTARY,California,23.6,25,,27.33,25.08,,61518008355
447,ANZA ELEMENTARY,California,24,22.4,,24.5,24.15,,60681000603
448,ANZA ELEMENTARY,California,25.81,23.18,,24.64,26.45,,63942006550
449,ANZAR HIGH,California,19.64,18.84,,18.99,21.97,,69113603761
450,APEX ACADEMY,California,15.2,16,,13.16,20.69,,62271012312
451,APOLLO ELEMENTARY COMMUNITY DAY,California,,,,,,,69101710950
452,APOLLO HIGH,California,16.78,17.7,,15.2,14.29,,63684006245
453,APOLLO HIGH,California,8.07,8,,18.46,20,,61182006643
454,APPERSON STREET ELEMENTARY,California,20,18,,23.6,24.06,,62271002820
455,APPLE ACADEMY CHARTER PUBLIC,California,19,,,17.53,,,62271013183
456,APPLE BLOSSOM,California,21.6,22.7,,20.14,18.94,,64023006652
457,APPLE VALLEY HIGH,California,81.84,80,,25.99,26.05,,60001709098
458,APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,California,,,,,,,60001713290
459,APPLIED TECHNOLOGY CENTER,California,19.1,10.17,,20,23.01,,62547012972
460,APRICOT VALLEY ELEMENTARY,California,29,29,,28.72,28.72,,63003011495
461,APRIL LANE ELEMENTARY,California,21.14,20.14,,23.56,23.14,,64347007029
462,APTITUD COMMUNITY ACADEMY AT GOSS,California,19.64,20.17,,19.3,19.09,,60231000106
463,APTOS HIGH,California,54,54,,24.98,25.59,,62949004535
464,APTOS JUNIOR HIGH,California,29.5,26.35,,25.08,27.86,,62949004536
465,APTOS MIDDLE,California,46.1,46.5,,22.82,21.16,,63441005585
466,ARAGON AVENUE ELEMENTARY,California,20,20,,22.05,22.75,,62271002821
467,ARAGON HIGH,California,68.2,67.8,,21.13,22.11,,63498005919
468,ARARAT CHARTER,California,14.15,11,,22.4,23.18,,62271012437
469,ARBOGA ELEMENTARY,California,20.2,20,,25.84,25.3,,62409003621
470,ARBOLITA ELEMENTARY,California,12.5,12.5,,28.8,27.76,,62019007589
471,ARBUCKLE ALTERNATIVE HIGH (CONTINUATION),California,0.75,0.75,,14.67,9.33,,63036002931
472,ARBUCKLE ELEMENTARY,California,25,23,,24.08,23.61,,63036004734
473,ARCADE FUNDAMENTAL MIDDLE,California,24,14.33,,24.67,,,63462005752
474,ARCADIA HIGH,California,133.32,145.46,,26.36,25.2,,60297000223
475,ARCATA ELEMENTARY,California,14.18,17.25,,21.44,16.06,,60300000237
476,ARCATA HIGH,California,39.21,34.95,,21.07,23.4,,60303000238
477,ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER H,California,13,11,,19.85,20.36,,62927012465
478,ARCHWAYS COMMUNITY DAY,California,,,,,,,62664008532
479,ARCOHE ELEMENTARY,California,20,19,,20.7,21.79,,60306000241
480,ARDEN MIDDLE,California,34.45,34.6,,27.2,25.43,,63462005753
481,ARDENWOOD ELEMENTARY,California,35,34.6,,26.14,25.38,,61440008138
482,ARDIS G. EGAN JUNIOR HIGH,California,24.57,24.13,,21.16,23.04,,62265002786
483,ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,California,12.5,12.5,,22.72,22.88,,60558009314
484,ARELLANES JUNIOR HIGH,California,25.5,26.95,,21.96,20.48,,60558010660
485,ARENA ELEMENTARY,California,15.93,17.21,,16.64,14.24,,60309000242
486,ARENA HIGH (CONTINUATION),California,1,1,,18,21,,61221008826
487,ARGONAUT ELEMENTARY,California,19,20,,22.26,22.2,,63591006147
488,ARGONAUT HIGH,California,21.73,22.18,,25.72,26.56,,60245008787
489,ARGONNE ELEMENTARY,California,19.53,19,,22.43,22.37,,63441005586
490,ARGUS HIGH (CONTINUATION),California,10.33,10.27,,27.88,29.11,,60813000782
491,ARISE HIGH,California,12.25,10,,19.51,23.6,,62805012040
492,ARIZONA MIDDLE,California,44.2,49.4,,25.81,23.44,,60243000129
493,ARK INDEPENDENT STUDIES,California,2.3,2.7,,33.04,20.37,,63560007869
494,ARLANZA ELEMENTARY,California,22.53,23,,30.94,30.35,,60243000130
495,ARLENE HEIN ELEMENTARY,California,45,45,,25.33,23.98,,61233011060
496,ARLETA HIGH,California,62.5,61.04,,25.09,27.21,,62271011652
497,ARLIE F. HUTCHINSON MIDDLE,California,21,22.5,,25.24,25.38,,62769004170
498,ARLINGTON ELEMENTARY,California,24.38,25.21,,24.49,24.12,,63942006551
499,ARLINGTON HEIGHTS ELEMENTARY,California,28,28,,22.96,22.64,,62271002825
500,ARLINGTON HEIGHTS ELEMENTARY,California,10.22,11.5,,29.84,29.83,,63462005754
501,ARLINGTON HIGH,California,83.9,86.8,,25.69,25.03,,63315005131
502,ARMA J. SHULL ELEMENTARY,California,21.8,24.6,,25.87,23.01,,60561000504
503,ARMADA ELEMENTARY,California,25,25,,28.44,28.16,,62580003863
504,ARMIJO HIGH,California,96.81,88.95,,24.74,25.18,,61336001510
505,ARMINTA STREET ELEMENTARY,California,23,25,,22.09,21.44,,62271002826
506,ARMONA ELEMENTARY,California,27.3,27.3,,21.25,21.83,,60318000243
507,ARMSTRONG ELEMENTARY,California,16,14,,25,21.57,,63132004836
508,ARNOLD ADREANI ELEMENTARY,California,29,29,,26.66,25.24,,61233011064
509,ARNOLD O. BECKMAN HIGH,California,85.98,82.58,,28.73,28.92,,64015010994
510,AROMAS,California,16,17.52,,24.81,24.77,,69113610298
511,AROVISTA ELEMENTARY,California,19,20,,29.47,28.25,,60588000526
512,ARROW HIGH (CONTINUATION),California,4.2,4.4,,12.38,18.41,,60819000798
513,ARROWHEAD ELEMENTARY,California,11,15,,29.82,20.87,,63417005345
514,ARROWVIEW MIDDLE,California,54.87,56.5,,18.83,20.42,,63417005346
515,ARROYO ELEMENTARY,California,23.2,21,,23.28,24.52,,62847004387
516,ARROYO ELEMENTARY,California,28,31.5,,25.54,23.87,,63132004837
517,ARROYO ELEMENTARY,California,13,13.5,,23.85,26.37,,63684010712
518,ARROYO ELEMENTARY,California,19.5,19,,31.69,32,,64015006633
519,ARROYO GRANDE HIGH,California,96.73,96.95,,22.81,22.95,,62308003516
520,ARROYO HIGH,California,68.66,69.98,,26.01,25.59,,63471005845
521,ARROYO HIGH,California,99.94,95.24,,23.71,24.28,,61212001363
522,ARROYO PASEO CHARTER HIGH,California,10.6,11.1,,12.08,11.71,,63432011912
523,ARROYO SECO ELEMENTARY,California,31.4,32,,21.88,23.06,,62211002620
524,ARROYO SECO JUNIOR HIGH,California,49.2,48,,25.65,26.06,,64251006956
525,ARROYO SECO MUSEUM SCIENCE,California,21,22,,25.24,25.32,,62271008888
526,ARROYO VALLEY HIGH,California,107.01,115,,24.26,24.9,,63417010365
527,ARROYO VERDE ELEMENTARY,California,23.06,23.56,,24.93,24.53,,63207009619
528,ARROYO VISTA CHARTER,California,43,39,,24.09,23.59,,60861008299
529,ARROYO VISTA ELEMENTARY,California,30,28,,22.9,23.46,,63750006332
530,ARROYO VISTA ELEMENTARY,California,19.43,21.5,,30.67,28.33,,60744000745
531,ARROYO VISTA MIDDLE,California,14.95,16.8,,24.88,23.99,,60744011701
532,ARROYO WEST ELEMENTARY,California,17,17,,25.53,24.29,,62569010342
533,ART FREILER,California,36.67,35.5,,26.62,26.93,,60004710394
534,ART HAYCOX ELEMENTARY,California,31,31.5,,30.32,28.7,,61785002201
535,ARTESIA HIGH,California,64,61.4,,23.47,23.65,,60162000002
536,ARTHUR A. BENJAMIN HEALTH PROFESSIONS HIGH,California,13.5,13.6,,22.44,28.75,,63384011078
537,ARTHUR C. BUTLER ELEMENTARY,California,36,36,,26,26.61,,61233007608
538,ARTHUR E. MILLS INTERMEDIATE,California,10,11,,33,29.73,,61384001559
539,ARTHUR E. WRIGHT MIDDLE,California,31.25,31.7,,26.21,25.24,,62100002528
540,ARTHUR F. COREY ELEMENTARY,California,22.13,24.13,,28.42,25.98,,60636000554
541,ARTHUR HAPGOOD ELEMENTARY,California,22.05,21.67,,19.86,18.41,,62241002681
542,ARTHUR S. DUDLEY ELEMENTARY,California,26,26,,27.5,28.04,,60790007663
543,ARTLAB AT SONIA SOTOMAYOR LEARNING ACADEMICS,California,13,12.03,,22.23,19.95,,62271012867
544,ARTS IN ACTION COMMUNITY CHARTER,California,13,9,,19.31,22.11,,62271012683
545,ARTURO SANCHEZ ELEMENTARY,California,16,16,,26.44,25.44,,62769004181
546,ARUNDEL ELEMENTARY,California,20,19.24,,23.2,23.28,,63429005400
547,ARVIN HIGH,California,108.06,103.83,,22.58,23.95,,61954002339
548,ASA CHARTER,California,14.33,16,,20.87,19,,63417011105
549,ASAWA (RUTH) SAN FRANCISCO SCH OF THE ARTS A PUBL,California,29.14,33.71,,20.56,17.77,,63441001276
550,ASCEND,California,19.5,19.5,,22.41,22.36,,62805008677
551,ASCOT AVENUE ELEMENTARY,California,37,44,,24.11,23.14,,62271002827
552,ASHLEY FALLS ELEMENTARY,California,26.2,25.91,,16.56,16.33,,61074007660
553,ASPEN ELEMENTARY,California,18,17.03,,20.44,22.37,,60964001005
554,ASPIRE ALEXANDER TWILIGHT COLLEGE PREPARATORY ACAD,California,17,17,,24.47,24.35,,60132412449
555,ASPIRE ALEXANDER TWILIGHT SECONDARY ACADEMY,California,12.1,9,,22.4,21,,60132412785
556,ASPIRE ANTONIO MARIA LUGO ACADEMY,California,9,9,,26.11,26,,62271010891
557,ASPIRE APEX ACADEMY,California,10.5,11,,26.86,24.82,,60132412659
558,ASPIRE BENJAMIN HOLT COLLEGE PREPARATORY ACADEMY,California,28,32,,24.96,20.19,,62223011341
559,ASPIRE BERKLEY MAYNARD ACADEMY,California,23.9,24.35,,23.31,22.63,,62805010727
560,ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY,California,21.5,19.33,,21.67,21.31,,69105112283
561,ASPIRE CAPITOL HEIGHTS ACADEMY,California,12,13,,23.67,22.46,,63384011189
562,ASPIRE CENTENNIAL COLLEGE PREPARATORY ACADEMY,California,,,,,,,62271013135
563,ASPIRE EAST PALO ALTO CHARTER,California,21.2,22.8,,24.81,22.63,,63186007420
564,ASPIRE EAST PALO ALTO PHOENIX ACADEMY,California,11.3,12.5,,17.43,14.64,,63639012231
565,ASPIRE ERES ACADEMY,California,11,11,,20.18,20.45,,62805012542
566,ASPIRE FIRESTONE ACADEMY,California,16,16,,23.44,23.31,,62271012761
567,ASPIRE GATEWAY ACADEMY,California,15,15,,24.93,24.47,,62271012679
568,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,California,23.9,22.08,,20.08,17.89,,62805012331
569,ASPIRE HUNTINGTON PARK CHARTER,California,9,9,,26.11,25.56,,62271012205
570,ASPIRE INSKEEP ACADEMY CHARTER,California,13,12,,25,24.25,,62271012856
571,ASPIRE JUANITA TATE ACADEMY CHARTER,California,12,12,,25.25,24.08,,62271012967
572,ASPIRE JUNIOR COLLEGIATE ACADEMY,California,12,12,,24.75,24.67,,60132412077
573,ASPIRE LANGSTON HUGHES ACADEMY,California,23.63,22.83,,25.77,23.35,,63801012244
574,ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY,California,21.1,24.69,,23.74,19.44,,62805010459
575,ASPIRE MILLSMONT ACADEMY,California,11,12,,24.18,23.5,,62805010724
576,ASPIRE MONARCH ACADEMY,California,17,18,,22.82,21.33,,62805008440
577,ASPIRE OLLIN UNIVERSITY PREPARATORY ACADEMY,California,21.1,20.8,,25.59,25.96,,62271011655
578,ASPIRE PACIFIC ACADEMY,California,24,20,,24.71,24.05,,62271012634
579,ASPIRE PORT CITY ACADEMY,California,16,17,,25.44,23.82,,60132412106
580,ASPIRE RIVER OAKS CHARTER,California,16,21,,23.63,18,,62223010389
581,ASPIRE ROSA PARKS ACADEMY,California,16,17,,23.88,22.41,,63801011423
582,ASPIRE SLAUSON ACADEMY CHARTER,California,12,12,,24.92,24.08,,62271012950
583,ASPIRE SUMMIT CHARTER ACADEMY,California,16,17,,24.94,23.59,,60813011809
584,ASPIRE TITAN ACADEMY,California,12,12,,24.92,24.5,,60132412447
585,ASPIRE UNIVERSITY CHARTER,California,11,12,,24,22,,63867012365
586,ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY,California,15.2,15.25,,21.64,20.59,,60134212511
587,ASPIRE VINCENT SHALVEY ACADEMY,California,16,20.5,,24.44,18.73,,62223008323
588,ASSURANCE LEARNING ACADEMY,California,4.23,,,39.01,,,60000113121
589,ATASCADERO HIGH,California,65.83,67.25,,21.42,22.08,,60330000247
590,ATASCADERO JUNIOR HIGH,California,28.15,28.73,,20.36,19.84,,60330000248
591,ATHENOUR ELEMENTARY,California,,,,,,,64032013329
592,ATHERWOOD ELEMENTARY,California,22,23,,25.59,25.74,,63684006248
593,ATWATER AVENUE ELEMENTARY,California,17,17,,20.41,21.18,,62271002828
594,ATWATER HIGH,California,67.57,72.3,,26.03,24.74,,62466003699
595,ATWATER JUNIOR ACADEMY,California,1,1,,5,8,,60342012736
596,ATWATER SENIOR ACADEMY,California,1,1,,5,5,,60342011167
597,AUBERRY ELEMENTARY,California,,,,,,,63680500405
598,AUBURN ELEMENTARY,California,23.6,22.83,,21.4,21.9,,60348004813
599,AUBURNDALE INTERMEDIATE,California,32.51,36,,20.82,21.92,,60985001046
600,AUDEO CHARTER,California,21,18,,30.57,33,,63432010634
601,AUDUBON ELEMENTARY,California,26.93,24.93,,24.36,25.35,,63492005897
602,AUDUBON K-8,California,30.21,34.2,,16.02,16.81,,63432005411
603,AUDUBON MIDDLE,California,34.01,40.52,,22.99,20.36,,62271002829
604,AUGUST BOEGER MIDDLE,California,29.5,32.67,,22.78,21.15,,62640003987
605,AUGUST ELEMENTARY,California,25,27,,26.16,23.37,,63801006399
606,AUGUST KNODT ELEMENTARY,California,30.8,30.3,,25.84,26.63,,62361001374
607,AUGUST SCHILLING ELEMENTARY,California,26.14,24.95,,20.89,23.37,,62706004090
608,AUGUSTUS F. HAWKINS HIGH A CRITICAL DESIGN AND GAM,California,12.8,,,27.34,,,62271013065
